职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
ETL工程师（嘉兴）,1万-1.8万,嘉兴-南湖区,3-5年,本科,DataStage、Informatica、SQL、Shell、数据开发、数据清洗、报表开发、Oracle,先进数通,http://jobs.zhaopin.com/CC000432190J40432496816.htm?refcode=4019&srccode=401901&preactionid=ac5572ab-296f-49bc-a8a9-9d14e09ff937
数据分析岗/数据运营,6千-1.2万,嘉兴-桐乡市,1-3年,本科,,华润置地,http://jobs.zhaopin.com/CC358101520J40496359505.htm?refcode=4019&srccode=401901&preactionid=ac5572ab-296f-49bc-a8a9-9d14e09ff937
BI Specialist/BI工程师,8千-1.5万,嘉兴-秀洲区,1-3年,本科,数据可视化、数据治理、数据挖掘、报表开发、Power BI、QuickBI、数据仓库、SQL,德沃康科技集团有限公司,http://jobs.zhaopin.com/CC426410710J40446813210.htm?refcode=4019&srccode=401901&preactionid=ac5572ab-296f-49bc-a8a9-9d14e09ff937
大数据可视化研发工程师,6千-1.2万 · 13薪,嘉兴-秀洲区,经验不限,本科,Canvas、WebGL、Echarts、Three.js、MXGRAPH、ElementUI、Bootstrap、Vue,嘉兴市翼马科技有限公司,http://jobs.zhaopin.com/CCL1359645130J40202109013.htm?refcode=4019&srccode=401901&preactionid=ac5572ab-296f-49bc-a8a9-9d14e09ff937
Python开发工程师（嘉兴）,6千-1.2万 · 14薪,嘉兴-南湖区,1-3年,本科,Python、Django、数据库、MySQL,浙江和达科技股份有限公司,http://jobs.zhaopin.com/CC255098130J40152596610.htm?refcode=4019&srccode=401901&preactionid=ac5572ab-296f-49bc-a8a9-9d14e09ff937
数据分析（品质spc方向）,7千-9千,嘉兴-海宁市,1-3年,本科,SPC,新艺机电,http://jobs.zhaopin.com/CC286107310J40486946511.htm?refcode=4019&srccode=401901&preactionid=ac5572ab-296f-49bc-a8a9-9d14e09ff937
销售数据分析经理,7千-9千 · 15薪,嘉兴-秀洲区,3-5年,本科,Power BI,浙江五芳斋实业股份有限公司,http://jobs.zhaopin.com/CC537972620J40476347504.htm?refcode=4019&srccode=401901&preactionid=ac5572ab-296f-49bc-a8a9-9d14e09ff937
数据工程师,5千-9千,嘉兴-桐乡市,1-3年,大专,数据库、数据库开发、数据挖掘、数据处理、数据分析,浙江中测时空科技有限公司,http://jobs.zhaopin.com/CC270162580J40418228802.htm?refcode=4019&srccode=401901&preactionid=ac5572ab-296f-49bc-a8a9-9d14e09ff937
网络分析或统计博士后,8千-1万,嘉兴-南湖区,经验不限,博士,交通管理、统计相关学科,浙江清华长三角研究院,http://jobs.zhaopin.com/CC140828040J40551216812.htm?refcode=4019&srccode=401901&preactionid=ac5572ab-296f-49bc-a8a9-9d14e09ff937
数据分析专员,1.2万-1.3万,嘉兴-南湖区,经验不限,大专,,四川锦蓉川吉科技有限公司,http://jobs.zhaopin.com/CCL1231911560J40524447407.htm?refcode=4019&srccode=401901&preactionid=ac5572ab-296f-49bc-a8a9-9d14e09ff937
统计分析员实习生（SA Intern）-漯河（2024校招）,110-150/天,嘉兴-南湖区,无经验,本科,SAS、Eviews、多元统计分析、因子分析、主成份分析、回归算法、方差分析、R语言、Python、SPSS、聚类算法,泰格医药,http://jobs.zhaopin.com/CC245090110J40474154602.htm?refcode=4019&srccode=401901&preactionid=ac5572ab-296f-49bc-a8a9-9d14e09ff937
系统开发工程师,1万-1.5万,嘉兴-南湖区,1-3年,学历不限,Java、报表开发、ETL开发、数仓开发,浙江东江汽车控股集团有限公司,http://jobs.zhaopin.com/CC566257180J40441064001.htm?refcode=4019&srccode=401901&preactionid=ac5572ab-296f-49bc-a8a9-9d14e09ff937
数据运营（周末双休）,9千-1万,嘉兴-南湖区,经验不限,大专,销售数据运营、经营数据分析,四川锦蓉川吉科技有限公司,http://jobs.zhaopin.com/CCL1231911560J40524449107.htm?refcode=4019&srccode=401901&preactionid=ac5572ab-296f-49bc-a8a9-9d14e09ff937
光谱分析工程师,1万-2万,嘉兴-秀洲区,1-3年,本科,运营数据分析、光谱仪,贝恩讯谱光电科技(北京)股份有限公司,http://jobs.zhaopin.com/CC662761020J40310258809.htm?refcode=4019&srccode=401901&preactionid=ac5572ab-296f-49bc-a8a9-9d14e09ff937
数据专员,4千-5千,嘉兴-秀洲区,经验不限,大专,电商数据运营、经营数据分析、策略运营,浙江日日隆科技有限公司,http://jobs.zhaopin.com/CCL1357869970J40472666913.htm?refcode=4019&srccode=401901&preactionid=ac5572ab-296f-49bc-a8a9-9d14e09ff937
运营工程师,6千-8千,嘉兴-海宁市,1-3年,本科,运营数据分析、财务数据分析,晶科能源,http://jobs.zhaopin.com/CC223723910J40387090411.htm?refcode=4019&srccode=401901&preactionid=ac5572ab-296f-49bc-a8a9-9d14e09ff937
GIS开发工程师（C++）,8千-1.5万 · 14薪,嘉兴-南湖区,3-5年,大专,ArcGlS、QGIs,浙江和达科技股份有限公司,http://jobs.zhaopin.com/CC255098130J40514843510.htm?refcode=4019&srccode=401901&preactionid=ac5572ab-296f-49bc-a8a9-9d14e09ff937
